,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,20.037002325057983,1.028039155441075,0.5023532708485922,0.013824229401949144,True,10,auto,1,2,500,16,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 16}",0.9760923330585326,0.9802143446001649,0.9703092783505155,0.975538652003071,0.004062635137105685,251
1,39.55009126663208,1.3508560537141006,0.8698463439941406,0.03924557847100767,True,10,auto,1,2,1000,16,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 16}",0.9752679307502061,0.9810387469084914,0.9711340206185567,0.975813566092418,0.004061952663816895,127
2,88.55968006451924,13.207833103819068,2.6208866437276206,0.24611830215939431,True,10,auto,1,2,2000,16,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 2000, 'random_state': 16}",0.9756801319043693,0.9810387469084914,0.9715463917525773,0.9760884235218127,0.0038859771945769293,55
3,25.96733323733012,0.9852168477826705,0.4966556231180827,0.04735572478769136,True,10,auto,1,5,500,16,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500, 'random_state': 16}",0.9756801319043693,0.9798021434460017,0.971958762886598,0.975813679412323,0.0032034388660280334,95
4,44.6139129002889,1.7732732541521687,0.9685870806376139,0.14801985214631186,True,10,auto,1,5,1000,16,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1000, 'random_state': 16}",0.9752679307502061,0.9802143446001649,0.971958762886598,0.975813679412323,0.0033923481109694262,95
5,76.76281309127808,6.600033401517812,1.9345235029856365,0.25424352687471863,True,10,auto,1,5,2000,16,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 2000, 'random_state': 16}",0.9744435284418796,0.9798021434460017,0.9711340206185567,0.9751265641688126,0.003571553508033396,417
6,20.75062616666158,0.3440688271744391,0.4748060703277588,0.03773367953161668,True,10,auto,1,10,500,16,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500, 'random_state': 16}",0.9744435284418796,0.9777411376751854,0.9711340206185567,0.9744395622452072,0.0026973457012447973,539
7,36.75230232874552,0.5465195053891144,0.8900960286458334,0.04313393183468934,True,10,auto,1,10,1000,16,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 1000, 'random_state': 16}",0.9744435284418796,0.9793899422918384,0.9711340206185567,0.9749891637840916,0.0033924768841112445,457
8,74.43185424804688,1.4922953778977874,2.311774810155233,0.2335146115209117,True,10,auto,1,10,2000,16,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 2000, 'random_state': 16}",0.9752679307502061,0.9793899422918384,0.9715463917525773,0.9754014215982073,0.003203507049090717,289
9,24.729035933812458,4.626830526799964,0.4620060125986735,0.03693777215571647,True,10,auto,2,2,500,16,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 16}",0.9756801319043693,0.9793899422918384,0.9715463917525773,0.9755388219829283,0.0032036747271333133,235
10,44.28412898381551,10.985881880531092,1.083451747894287,0.31416646325204434,True,10,auto,2,2,1000,16,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 16}",0.9756801319043693,0.9798021434460017,0.9723711340206186,0.9759511364569965,0.003039743176727452,73
11,88.80350867907207,12.694980400667445,1.8354374567667644,0.09668269062339979,True,10,auto,2,2,2000,16,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 2000, 'random_state': 16}",0.9752679307502061,0.9798021434460017,0.971958762886598,0.9756762790276019,0.00321503923113929,147
12,18.060062487920124,0.13237357770097505,0.435178279876709,0.011499164721430349,True,10,auto,2,5,500,16,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500, 'random_state': 16}",0.9756801319043693,0.9798021434460017,0.971958762886598,0.975813679412323,0.0032034388660280334,95
13,39.78953234354655,3.236313620244081,1.3078337510426838,0.3020864590463908,True,10,auto,2,5,1000,16,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 1000, 'random_state': 16}",0.9752679307502061,0.9798021434460017,0.9707216494845361,0.9752639078935813,0.003707097227713786,387
