,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,403.8585738341014,11.20682803748754,4.250163634618123,0.7272821179042193,0.001,10,500,16,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 500, 'random_state': 16}",0.4134377576257213,0.4051937345424567,0.4061855670103093,0.4082723530594958,0.0036748683568856772,57
1,751.2143216927847,7.326787076600216,12.102994759877523,0.5952486531007093,0.001,10,1000,16,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 1000, 'random_state': 16}",0.42003297609233303,0.42415498763396536,0.41525773195876287,0.4198152318950204,0.003635551222678458,49
2,1537.3951444625854,84.31327197894345,25.60377581914266,1.238820719669692,0.001,10,2000,16,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 2000, 'random_state': 16}",0.43033800494641383,0.43446001648804616,0.4197938144329897,0.42819727862248325,0.006175834765460876,33
3,608.7047194639841,28.348359285845568,6.124614318211873,0.28952020507988474,0.001,20,500,16,"{'learning_rate': 0.001, 'max_depth': 20, 'n_estimators': 500, 'random_state': 16}",0.3907666941467436,0.3994229183841715,0.39670103092783504,0.3956302144862501,0.0036140965123467243,60
4,1213.8169417381287,53.39037523379114,16.12384541829427,0.8384105600015802,0.001,20,1000,16,"{'learning_rate': 0.001, 'max_depth': 20, 'n_estimators': 1000, 'random_state': 16}",0.41384995877988456,0.4220939818631492,0.4127835051546392,0.41624248193255764,0.004160478290772556,54
5,2295.2760784626007,38.26514710546065,31.727452993392944,1.6311543291242385,0.001,20,2000,16,"{'learning_rate': 0.001, 'max_depth': 20, 'n_estimators': 2000, 'random_state': 16}",0.41962077493816985,0.42868920032976093,0.417319587628866,0.42187652096559897,0.0049080420975703655,44
6,652.5496687889099,31.807191056293366,6.887669563293457,0.9494498280755598,0.001,50,500,16,"{'learning_rate': 0.001, 'max_depth': 50, 'n_estimators': 500, 'random_state': 16}",0.3948887056883759,0.4051937345424567,0.39628865979381445,0.3987903666748824,0.004563792860472261,58
7,1273.0425708293915,3.9483116341879825,16.759126901626587,0.5677858507981809,0.001,50,1000,16,"{'learning_rate': 0.001, 'max_depth': 50, 'n_estimators': 1000, 'random_state': 16}",0.4117889530090684,0.421681780708986,0.40494845360824744,0.412806395775434,0.006869131497853273,55
8,2788.3537607987723,126.39477339481054,35.24140286445618,3.7248370171856937,0.001,50,2000,16,"{'learning_rate': 0.001, 'max_depth': 50, 'n_estimators': 2000, 'random_state': 16}",0.42126957955482275,0.4356966199505359,0.41525773195876287,0.42407464382137383,0.008576647547834841,39
9,623.8227861722311,11.032410344787502,6.386453469594319,0.38392457690066367,0.001,100,500,16,"{'learning_rate': 0.001, 'max_depth': 100, 'n_estimators': 500, 'random_state': 16}",0.3948887056883759,0.4051937345424567,0.39628865979381445,0.3987903666748824,0.004563792860472261,58
10,1274.1085453828175,18.937862606241588,15.513214429219564,0.5665261237752983,0.001,100,1000,16,"{'learning_rate': 0.001, 'max_depth': 100, 'n_estimators': 1000, 'random_state': 16}",0.4117889530090684,0.421681780708986,0.40494845360824744,0.412806395775434,0.006869131497853273,55
11,2753.1734302838645,77.00782869285068,34.36342406272888,1.4930318914158578,0.001,100,2000,16,"{'learning_rate': 0.001, 'max_depth': 100, 'n_estimators': 2000, 'random_state': 16}",0.42126957955482275,0.4356966199505359,0.41525773195876287,0.42407464382137383,0.008576647547834841,39
12,212.42631268501282,11.06693006251752,1.186395247777303,0.03631051372384035,0.001,,500,16,"{'learning_rate': 0.001, 'max_depth': None, 'n_estimators': 500, 'random_state': 16}",0.4274525968672712,0.427040395713108,0.42391752577319586,0.42613683945119174,0.0015782885982138796,34
13,423.96994256973267,21.23204071118737,3.68565042813619,0.19974060742507252,0.001,,1000,16,"{'learning_rate': 0.001, 'max_depth': None, 'n_estimators': 1000, 'random_state': 16}",0.42786479802143446,0.427040395713108,0.4317525773195876,0.42888592368471,0.0020547809434359318,32
14,847.5539864699045,20.120912875711326,14.92748737335205,2.255202500063151,0.001,,2000,16,"{'learning_rate': 0.001, 'max_depth': None, 'n_estimators': 2000, 'random_state': 16}",0.4295136026380874,0.4356966199505359,0.4383505154639175,0.43452024601751366,0.0037023099812190105,25
15,367.9421937465668,5.751322596874056,3.4280166625976562,0.04319027856124285,0.01,10,500,16,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500, 'random_state': 16}",0.41962077493816985,0.4356966199505359,0.43587628865979383,0.43039789451616656,0.0076209273280925145,30
16,750.9102640151978,76.34014904670771,11.000676393508911,0.9180144740525221,0.01,10,1000,16,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 1000, 'random_state': 16}",0.4253915910964551,0.43281121187139326,0.44329896907216493,0.43383392401333776,0.00734633702762563,27
17,1343.3723313013713,38.110328562258665,20.973578612009685,0.702154842759349,0.01,10,2000,16,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 2000, 'random_state': 16}",0.43239901071723,0.42910140148392417,0.44123711340206184,0.4342458418677387,0.005123603218691185,26
18,600.9196656545004,43.39943658140071,6.183640003204346,0.8670834160047022,0.01,20,500,16,"{'learning_rate': 0.01, 'max_depth': 20, 'n_estimators': 500, 'random_state': 16}",0.4274525968672712,0.44558944765045344,0.43711340206185567,0.4367184821931935,0.0074096023446989625,16
